tag,sampleID,species,treatment,species_treatment,lesion,days,status
BH,Transmission_001,Mc,control,Mc_control,,7.628472222,0
BW,Transmission_002,Mc,control,Mc_control,,7.635416667,0
CH,Transmission_003,Mc,control,Mc_control,,14.59722222,0
CW,Transmission_004,Mc,control,Mc_control,,14.59027778,0
PH,Transmission_005,Mc,control,Mc_control,,13.61111111,0
PW,Transmission_006,Mc,control,Mc_control,,14.60763889,0
RH,Transmission_007,Mc,control,Mc_control,,13.61458333,0
RW,Transmission_008,Mc,control,Mc_control,,13.55902778,0
WH,Transmission_009,Mc,control,Mc_control,,10.61111111,0
WW,Transmission_010,Mc,control,Mc_control,,4.638888889,0
YH,Transmission_011,Mc,control,Mc_control,,11.60416667,0
YW,Transmission_012,Mc,control,Mc_control,,10.62152778,0
BL,Transmission_013,Mc,control,Mc_control,,13.56597222,0
BZ,Transmission_014,Mc,control,Mc_control,,14.58333333,0
CZ,Transmission_015,Mc,control,Mc_control,,6.59375,0
GZ,Transmission_016,Mc,control,Mc_control,,4.645833333,0
LZ,Transmission_017,Mc,control,Mc_control,,14.57291667,0
PZ,Transmission_018,Mc,control,Mc_control,,14.61458333,0
RZ,Transmission_019,Mc,control,Mc_control,,4.625,0
YZ,Transmission_020,Mc,control,Mc_control,,14.62152778,0
BH,Transmission_021,Mc,sctld,Mc_sctld,2.927083333,2.927083333,1
BW,Transmission_022,Mc,sctld,Mc_sctld,7,7,1
CH,Transmission_023,Mc,sctld,Mc_sctld,,14.59722222,0
CW,Transmission_024,Mc,sctld,Mc_sctld,,14.59027778,0
PH,Transmission_025,Mc,sctld,Mc_sctld,12.99305556,12.99305556,1
PW,Transmission_026,Mc,sctld,Mc_sctld,,14.60763889,0
RH,Transmission_027,Mc,sctld,Mc_sctld,2.927083333,2.927083333,1
RW,Transmission_028,Mc,sctld,Mc_sctld,,13.55902778,0
WH,Transmission_029,Mc,sctld,Mc_sctld,8,8,1
WW,Transmission_030,Mc,sctld,Mc_sctld,1.927083333,1.927083333,1
YH,Transmission_031,Mc,sctld,Mc_sctld,4.96875,4.96875,1
YW,Transmission_032,Mc,sctld,Mc_sctld,8,8,1
BL,Transmission_033,Mc,sctld,Mc_sctld,,13.56597222,0
BZ,Transmission_034,Mc,sctld,Mc_sctld,,14.58333333,0
CZ,Transmission_035,Mc,sctld,Mc_sctld,4.96875,4.96875,1
GZ,Transmission_036,Mc,sctld,Mc_sctld,2.927083333,2.927083333,1
LZ,Transmission_037,Mc,sctld,Mc_sctld,,14.57291667,0
PZ,Transmission_038,Mc,sctld,Mc_sctld,,14.61458333,0
RZ,Transmission_039,Mc,sctld,Mc_sctld,2.927083333,2.927083333,1
YZ,Transmission_040,Mc,sctld,Mc_sctld,,14.62152778,0
BH,Transmission_041,Of,control,Of_control,,11.625,0
BW,Transmission_042,Of,control,Of_control,,12.61805556,0
CH,Transmission_043,Of,control,Of_control,,12.62847222,0
CW,Transmission_044,Of,control,Of_control,,12.64583333,0
PH,Transmission_045,Of,control,Of_control,,12.66666667,0
PW,Transmission_046,Of,control,Of_control,,13.62847222,0
RH,Transmission_047,Of,control,Of_control,,11.62152778,0
RW,Transmission_048,Of,control,Of_control,,12.65972222,0
WH,Transmission_049,Of,control,Of_control,,14.57638889,0
WW,Transmission_050,Of,control,Of_control,,12.67013889,0
YH,Transmission_051,Of,control,Of_control,,12.63541667,0
YW,Transmission_052,Of,control,Of_control,,13.63541667,0
BL,Transmission_053,Of,control,Of_control,,11.61111111,0
BZ,Transmission_054,Of,control,Of_control,,7.621527778,0
CZ,Transmission_055,Of,control,Of_control,,12.64236111,0
GZ,Transmission_056,Of,control,Of_control,,11.63194444,0
LZ,Transmission_057,Of,control,Of_control,,8.618055556,0
PZ,Transmission_058,Of,control,Of_control,,12.625,0
RZ,Transmission_059,Of,control,Of_control,,12.65277778,0
YZ,Transmission_060,Of,control,Of_control,,13.62152778,0
BH,Transmission_061,Of,sctld,Of_sctld,1.927083333,1.927083333,1
BW,Transmission_062,Of,sctld,Of_sctld,0.885416667,0.885416667,1
CH,Transmission_063,Of,sctld,Of_sctld,7,7,1
CW,Transmission_064,Of,sctld,Of_sctld,0.885416667,0.885416667,1
PH,Transmission_065,Of,sctld,Of_sctld,0.885416667,0.885416667,1
PW,Transmission_066,Of,sctld,Of_sctld,5.913194444,5.913194444,1
RH,Transmission_067,Of,sctld,Of_sctld,4,4,1
RW,Transmission_068,Of,sctld,Of_sctld,0.885416667,0.885416667,1
WH,Transmission_069,Of,sctld,Of_sctld,,14.57638889,0
WW,Transmission_070,Of,sctld,Of_sctld,1.927083333,1.927083333,1
YH,Transmission_071,Of,sctld,Of_sctld,8,8,1
YW,Transmission_072,Of,sctld,Of_sctld,1.927083333,1.927083333,1
BL,Transmission_073,Of,sctld,Of_sctld,4,4,1
BZ,Transmission_074,Of,sctld,Of_sctld,2.927083333,2.927083333,1
CZ,Transmission_075,Of,sctld,Of_sctld,1.927083333,1.927083333,1
GZ,Transmission_076,Of,sctld,Of_sctld,1.927083333,1.927083333,1
LZ,Transmission_077,Of,sctld,Of_sctld,2.927083333,2.927083333,1
PZ,Transmission_078,Of,sctld,Of_sctld,1.927083333,1.927083333,1
RZ,Transmission_079,Of,sctld,Of_sctld,5.913194444,5.913194444,1
YZ,Transmission_080,Of,sctld,Of_sctld,2.927083333,2.927083333,1